,,,,,,,,,,,
,,,,,,,,,,,
Mean Data,,,,,,,,,,,
,Http Request Duration In Seconds,,,,,,Requests,,,,
,Average,Minimum,Median,Maximum,p(90),p(95),Total Requests,Requests Per Second,,,
Control,6.81,0.33,6.57,29.59,9.82,12.40,31118.50,257.90,,Experiment Parameters,
HPA,7.43,0.61,7.25,27.63,10.09,14.79,29247.80,246.21,,Total Number of Users,2000
Kubernetes Operator,6.30,0.47,6.25,20.31,8.47,11.60,36569.60,301.06,,Spawn Rate (Users per second),2000
,,,,,,,,,,Test Duration (Seconds),120
,,,,,,,,,,,
,,,,,,,,,,,
Raw Sample Data using K6s,,,,,,,,,,,
,Http Request Duration In Seconds,,,,,,Requests,,,,
,Average,Minimum,Median,Maximum,p(90),p(95),Total Requests,Requests Per Second,,,
Control #1,6.96,0.38,6.40,30.54,9.97,12.94,30667,255.56,,,
Control #2,6.87,0.29,6.83,29.09,9.82,12.31,30951,257.93,,,
Control #3,6.76,0.39,6.39,24.93,9.41,11.86,31894,265.78,,,
Control #4,6.98,0.28,6.54,32.13,9.85,12.29,31251,260.43,,,
Control #5,7.11,0.36,7.02,35.30,10.83,13.73,28735,239.46,,,
Control #6,6.88,0.29,6.96,29.05,9.59,12.80,31438,261.98,,,
Control #7,7.03,0.39,6.80,23.52,10.68,13.27,29473,245.61,,,
Control #8,6.40,0.33,6.25,24.61,9.27,11.25,32980,274.83,,,
Control #9,6.74,0.28,6.52,34.89,9.59,12.48,31048,258.73,,,
Control #10,6.32,0.35,5.96,31.82,9.22,11.06,32748,258.73,,,
HPA #1,7.93,0.39,7.68,31.37,10.01,15.69,29331,272.90,,,
HPA #2,6.35,0.29,6.21,25.97,10.64,13.58,30090,244.43,,,
HPA #3,7.76,0.60,7.61,31.61,10.99,15.62,30056,250.75,,,
HPA #4,7.52,0.82,7.34,23.90,9.53,14.74,28486,250.47,,,
HPA #5,7.68,0.42,7.53,22.25,10.51,14.19,28951,237.38,,,
HPA #6,6.80,0.97,6.76,27.69,9.61,14.09,29398,241.26,,,
HPA #7,6.99,0.43,6.79,31.03,9.43,14.70,29351,244.98,,,
HPA #8,7.82,0.81,7.78,23.62,10.43,15.19,28030,244.59,,,
HPA #9,7.48,0.69,7.26,31.70,9.40,15.87,29015,233.58,,,
HPA #10,7.94,0.72,7.50,27.11,10.38,14.26,29770,241.79,,,
Kubernetes Operator #1,6.13,0.33,6.22,18.14,8.91,11.69,34534,248.08,,,
Kubernetes Operator #2,6.59,0.96,6.34,17.62,8.85,12.32,35879,287.78,,,
Kubernetes Operator #3,6.20,0.52,5.91,22.66,7.92,10.69,38269,298.99,,,
Kubernetes Operator #4,5.75,0.28,5.89,19.71,7.74,10.82,38243,318.91,,,
Kubernetes Operator #5,6.32,0.42,5.83,21.93,7.89,10.56,34350,318.69,,,
Kubernetes Operator #6,5.97,0.38,6.28,20.06,8.47,11.55,35297,286.25,,,
Kubernetes Operator #7,5.82,0.30,5.57,18.96,7.55,10.14,37757,294.14,,,
Kubernetes Operator #8,6.40,0.48,6.31,22.40,8.91,12.39,37308,314.64,,,
Kubernetes Operator #9,6.85,0.52,6.99,19.85,9.30,13.16,39863,310.90,,,
Kubernetes Operator #10,7.01,0.53,7.14,21.80,9.15,12.72,34196,332.19,,,